 q(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.00000000  0.00000000  0.02000000    0.0000D+00  0.194835606290220E+01 -0.284880474181977E-17    0.513253208199756E+00  0.750457373328207E-18
  0.00000000  0.00000000  0.02000000    0.1015D-04  0.194835606297314E+01 -0.284880466918919E-17    0.513253208181068E+00  0.750457354140569E-18
  0.00000000  0.00000000  0.02000000    0.3076D-04  0.194835606355368E+01 -0.284880461472835E-17    0.513253208028136E+00  0.750457339346791E-18
  0.00000000  0.00000000  0.02000000    0.5200D-04  0.194835606476381E+01 -0.284880459158946E-17    0.513253207709353E+00  0.750457332319117E-18
  0.00000000  0.00000000  0.02000000    0.7389D-04  0.194835606666056E+01 -0.284880452514810E-17    0.513253207209696E+00  0.750457313355388E-18
  0.00000000  0.00000000  0.02000000    0.9644D-04  0.194835606930500E+01 -0.284880467339904E-17    0.513253206513075E+00  0.750457350371825E-18
  0.00000000  0.00000000  0.02000000    0.1197D-03  0.194835607276257E+01 -0.284880464157262E-17    0.513253205602250E+00  0.750457339324288E-18
  0.00000000  0.00000000  0.02000000    0.1436D-03  0.194835607710334E+01 -0.284880469039890E-17    0.513253204458767E+00  0.750457348842634E-18
  0.00000000  0.00000000  0.02000000    0.1683D-03  0.194835608240229E+01 -0.284880480865989E-17    0.513253203062870E+00  0.750457375913943E-18
  0.00000000  0.00000000  0.02000000    0.1937D-03  0.194835608873971E+01 -0.284880480319160E-17    0.513253201393409E+00  0.750457369591409E-18
  0.00000000  0.00000000  0.02000000    0.2199D-03  0.194835609620144E+01 -0.284880480856469E-17    0.513253199427775E+00  0.750457365258699E-18
  0.00000000  0.00000000  0.02000000    0.2469D-03  0.194835610487933E+01 -0.284880487461916E-17    0.513253197141769E+00  0.750457375974348E-18
  0.00000000  0.00000000  0.02000000    0.2748D-03  0.194835611487154E+01 -0.284880486545081E-17    0.513253194509532E+00  0.750457365861645E-18
  0.00000000  0.00000000  0.02000000    0.3034D-03  0.194835612628304E+01 -0.284880496070271E-17    0.513253191503414E+00  0.750457382162901E-18
  0.00000000  0.00000000  0.02000000    0.3330D-03  0.194835613922601E+01 -0.284880501154870E-17    0.513253188093863E+00  0.750457385586598E-18
  0.00000000  0.00000000  0.02000000    0.3634D-03  0.194835615382029E+01 -0.284880513399799E-17    0.513253184249310E+00  0.750457406600579E-18
  0.00000000  0.00000000  0.02000000    0.3948D-03  0.194835617019390E+01 -0.284880519418651E-17    0.513253179936027E+00  0.750457409842565E-18
  0.00000000  0.00000000  0.02000000    0.4271D-03  0.194835618848360E+01 -0.284880537739749E-17    0.513253175117995E+00  0.750457444016166E-18
  0.00000000  0.00000000  0.02000000    0.4604D-03  0.194835620883536E+01 -0.284880538727826E-17    0.513253169756752E+00  0.750457430941076E-18
  0.00000000  0.00000000  0.02000000    0.4948D-03  0.194835623140508E+01 -0.284880543354707E-17    0.513253163811239E+00  0.750457425743048E-18
  0.00000000  0.00000000  0.02000000    0.5301D-03  0.194835625635911E+01 -0.284880565832845E-17    0.513253157237628E+00  0.750457465733617E-18
  0.00000000  0.00000000  0.02000000    0.5666D-03  0.194835628387500E+01 -0.284880581529726E-17    0.513253149989151E+00  0.750457485886879E-18
  0.00000000  0.00000000  0.02000000    0.6041D-03  0.194835631414219E+01 -0.284880600953886E-17    0.513253142015902E+00  0.750457513739397E-18
  0.00000000  0.00000000  0.02000000    0.6428D-03  0.194835634736280E+01 -0.284880605598388E-17    0.513253133264637E+00  0.750457500382878E-18
  0.00000000  0.00000000  0.02000000    0.6827D-03  0.194835638375240E+01 -0.284880629618270E-17    0.513253123678570E+00  0.750457535625457E-18
  0.00000000  0.00000000  0.02000000    0.7238D-03  0.194835642354088E+01 -0.284880658815272E-17    0.513253113197138E+00  0.750457581887720E-18
  0.00000000  0.00000000  0.02000000    0.7662D-03  0.194835646697341E+01 -0.284880679696867E-17    0.513253101755761E+00  0.750457603437624E-18
  0.00000000  0.00000000  0.02000000    0.8098D-03  0.194835651431140E+01 -0.284880703924511E-17    0.513253089285576E+00  0.750457630793417E-18
  0.00000000  0.00000000  0.02000000    0.8548D-03  0.194835656583345E+01 -0.284880719380913E-17    0.513253075713187E+00  0.750457631820038E-18
  0.00000000  0.00000000  0.02000000    0.9011D-03  0.194835662183661E+01 -0.284880753917270E-17    0.513253060960347E+00  0.750457679656720E-18
  0.00000000  0.00000000  0.02000000    0.9488D-03  0.194835668263738E+01 -0.284880783397812E-17    0.513253044943679E+00  0.750457710479087E-18
  0.00000000  0.00000000  0.02000000    0.9980D-03  0.194835674857312E+01 -0.284880819075816E-17    0.513253027574315E+00  0.750457753671626E-18
  0.00000000  0.00000000  0.02000000    0.1049D-02  0.194835682000320E+01 -0.284880855988375E-17    0.513253008757585E+00  0.750457795883762E-18
  0.00000000  0.00000000  0.02000000    0.1101D-02  0.194835689731055E+01 -0.284880899368780E-17    0.513252988392614E+00  0.750457850606497E-18
  0.00000000  0.00000000  0.02000000    0.1155D-02  0.194835698090307E+01 -0.284880930346564E-17    0.513252966371951E+00  0.750457867815389E-18
  0.00000000  0.00000000  0.02000000    0.1210D-02  0.194835707121527E+01 -0.284880985556814E-17    0.513252942581137E+00  0.750457943683026E-18
  0.00000000  0.00000000  0.02000000    0.1267D-02  0.194835716870987E+01 -0.284881034709304E-17    0.513252916898273E+00  0.750457998059808E-18
  0.00000000  0.00000000  0.02000000    0.1326D-02  0.194835727387966E+01 -0.284881086112405E-17    0.513252889193547E+00  0.750458052452748E-18
