 q(1:3)   w(Ry)   eps  epsi --- LFC included. 
  0.00000000  0.00000000  0.01000000    0.0000D+00  0.378888712639265E+01  0.397973641483890E-16    0.263929741541836E+00 -0.277224094657343E-17
  0.00000000  0.00000000  0.01000000    0.1015D-04  0.378888712713807E+01  0.397973626150084E-16    0.263929741489910E+00 -0.277224083866899E-17
  0.00000000  0.00000000  0.01000000    0.3076D-04  0.378888713323823E+01  0.397973613964687E-16    0.263929741064980E+00 -0.277224074486016E-17
  0.00000000  0.00000000  0.01000000    0.5200D-04  0.378888714595405E+01  0.397973623319287E-16    0.263929740179209E+00 -0.277224079141553E-17
  0.00000000  0.00000000  0.01000000    0.7389D-04  0.378888716588461E+01  0.397973636657308E-16    0.263929738790869E+00 -0.277224085516127E-17
  0.00000000  0.00000000  0.01000000    0.9644D-04  0.378888719367181E+01  0.397973635961431E-16    0.263929736855243E+00 -0.277224080965138E-17
  0.00000000  0.00000000  0.01000000    0.1197D-03  0.378888723000322E+01  0.397973579553781E-16    0.263929734324437E+00 -0.277224036355617E-17
  0.00000000  0.00000000  0.01000000    0.1436D-03  0.378888727561507E+01  0.397973593121371E-16    0.263929731147165E+00 -0.277224039132026E-17
  0.00000000  0.00000000  0.01000000    0.1683D-03  0.378888733129545E+01  0.397973575932491E-16    0.263929727268531E+00 -0.277224019010435E-17
  0.00000000  0.00000000  0.01000000    0.1937D-03  0.378888739788768E+01  0.397973611217298E-16    0.263929722629789E+00 -0.277224033844646E-17
  0.00000000  0.00000000  0.01000000    0.2199D-03  0.378888747629398E+01  0.397973591892563E-16    0.263929717168093E+00 -0.277224008909639E-17
  0.00000000  0.00000000  0.01000000    0.2469D-03  0.378888756747929E+01  0.397973514393923E-16    0.263929710816225E+00 -0.277223941581315E-17
  0.00000000  0.00000000  0.01000000    0.2748D-03  0.378888767247537E+01  0.397973561766695E-16    0.263929703502315E+00 -0.277223959216033E-17
  0.00000000  0.00000000  0.01000000    0.3034D-03  0.378888779238506E+01  0.397973527149698E-16    0.263929695149540E+00 -0.277223917555202E-17
  0.00000000  0.00000000  0.01000000    0.3330D-03  0.378888792838705E+01  0.397973476024023E-16    0.263929685675793E+00 -0.277223862039746E-17
  0.00000000  0.00000000  0.01000000    0.3634D-03  0.378888808174072E+01  0.397973428373664E-16    0.263929674993348E+00 -0.277223806406002E-17
  0.00000000  0.00000000  0.01000000    0.3948D-03  0.378888825379136E+01  0.397973382494310E-16    0.263929663008495E+00 -0.277223749269905E-17
  0.00000000  0.00000000  0.01000000    0.4271D-03  0.378888844597575E+01  0.397973388996183E-16    0.263929649621149E+00 -0.277223725675707E-17
  0.00000000  0.00000000  0.01000000    0.4604D-03  0.378888865982807E+01  0.397973270102630E-16    0.263929634724441E+00 -0.277223611561720E-17
  0.00000000  0.00000000  0.01000000    0.4948D-03  0.378888889698614E+01  0.397973254320789E-16    0.263929618204283E+00 -0.277223565863737E-17
  0.00000000  0.00000000  0.01000000    0.5301D-03  0.378888915919818E+01  0.397973175143244E-16    0.263929599938897E+00 -0.277223472338783E-17
  0.00000000  0.00000000  0.01000000    0.5666D-03  0.378888944832986E+01  0.397973117855590E-16    0.263929579798323E+00 -0.277223390122809E-17
  0.00000000  0.00000000  0.01000000    0.6041D-03  0.378888976637183E+01  0.397973053934141E-16    0.263929557643896E+00 -0.277223299055252E-17
  0.00000000  0.00000000  0.01000000    0.6428D-03  0.378889011544779E+01  0.397972965698355E-16    0.263929533327681E+00 -0.277223186509293E-17
  0.00000000  0.00000000  0.01000000    0.6827D-03  0.378889049782299E+01  0.397972899671050E-16    0.263929506691887E+00 -0.277223084560697E-17
  0.00000000  0.00000000  0.01000000    0.7238D-03  0.378889091591332E+01  0.397972777069544E-16    0.263929477568226E+00 -0.277222937976882E-17
  0.00000000  0.00000000  0.01000000    0.7662D-03  0.378889137229490E+01  0.397972729109959E-16    0.263929445777251E+00 -0.277222837784425E-17
  0.00000000  0.00000000  0.01000000    0.8098D-03  0.378889186971438E+01  0.397972567771979E-16    0.263929411127635E+00 -0.277222652608794E-17
  0.00000000  0.00000000  0.01000000    0.8548D-03  0.378889241109979E+01  0.397972470226261E-16    0.263929373415418E+00 -0.277222505436396E-17
  0.00000000  0.00000000  0.01000000    0.9011D-03  0.378889299957213E+01  0.397972341699139E-16    0.263929332423198E+00 -0.277222329792402E-17
  0.00000000  0.00000000  0.01000000    0.9488D-03  0.378889363845762E+01  0.397972259368036E-16    0.263929287919277E+00 -0.277222178950872E-17
  0.00000000  0.00000000  0.01000000    0.9980D-03  0.378889433130081E+01  0.397972092878346E-16    0.263929239656752E+00 -0.277221961589852E-17
  0.00000000  0.00000000  0.01000000    0.1049D-02  0.378889508187849E+01  0.397971906321812E-16    0.263929187372539E+00 -0.277221721802179E-17
  0.00000000  0.00000000  0.01000000    0.1101D-02  0.378889589421435E+01  0.397971744013551E-16    0.263929130786359E+00 -0.277221489868378E-17
  0.00000000  0.00000000  0.01000000    0.1155D-02  0.378889677259480E+01  0.397971558636927E-16    0.263929069599634E+00 -0.277221232201127E-17
  0.00000000  0.00000000  0.01000000    0.1210D-02  0.378889772158551E+01  0.397971318471354E-16    0.263929003494330E+00 -0.277220926036281E-17
  0.00000000  0.00000000  0.01000000    0.1267D-02  0.378889874604915E+01  0.397971145773799E-16    0.263928932131729E+00 -0.277220655824718E-17
  0.00000000  0.00000000  0.01000000    0.1326D-02  0.378889985116429E+01  0.397970836339731E-16    0.263928855151109E+00 -0.277220278562913E-17
